Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
El Nopalito ,Ranchero steak,6/1/16,,,,4,4,0,4.87,2.5,,,19.5,20.5,0.65,3.5,3,2.5,2.4,3.5,4.5,3,3,1.5,2.6,No,Emily,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Pollo Loco,Chicken avocado,11/27/16,Oceanside,3500 College Blvd,https://www.yelp.com/biz/el-pollo-loco-oceanside-5,3.5,4.1,0,5.99,3.5,,,17.5,21,0.61,2,3,3.8,2.5,2.5,3,2.5,3,2.6,3.2,No,Scott,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Portal Fresh Mexican Grill,Mahi,11/6/16,Clairemont,4101 Genesee Ave,https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,4,4.4,1,7.35,2.3,,,19.5,23.5,0.86,4,4,3.5,2,1.5,2,2,3,1.2,3.1,No,Scott,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Portal Fresh Mexican Grill,Carnitas,11/6/16,,,,4,4.4,0,6.7,3.75,,,18,22.5,0.73,3.5,4,4,3,3.75,4,3,3.5,4.5,3.75,Yes,Emily,,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Pueblo Mexican Food,California,8/10/16,Cardiff ,820 Birmingham Dr,https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea,4,4.7,0,4.99,4,,,19,21,0.67,4.5,4.5,3.5,4,4.5,5,2.5,4.5,5,4.3,Yes,Scott,,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Rey Moro,California Surf,6/9/16,Clairemont,4471 Clairemont Mesa Blvd,https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4,3.8,0,9.19,2.8,,,20.5,23.5,0.9,3.5,4.5,4,3.5,5,4.5,3,3.5,5,4,Yes,Scott,shrimp is really good. too much chipotle sauce,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Rey Moro,Hashbrown,8/20/17,,,,4,3.8,0,6.47,4,450,0.625,22.5,20,0.72,3,3,2,2.5,1.5,2.5,2.5,3,5,3.2,,Scott,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Rey Moro,Hashbrown,8/20/17,,,,4,3.8,0,8.94,3.5,,,21.5,22,0.83,2.5,3.5,3.5,3.5,3.5,4,3,3.5,4.5,3.8,,Emily,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Torrito Foods,Asada,9/25/16,Vista,249 Emerald Dr,https://www.yelp.com/biz/el-torito-foods-vista-2,4,4.4,0,5.49,4,,,23.5,19,0.68,3,5,3,3,2.5,4,3.5,3,5,3.1,Yes,Scott,Good because so cheap,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Torrito Foods,Adobada,9/25/16,,,,4,4.4,0,3.99,4.5,,,22.5,19.5,0.68,3.5,4,3,2.5,2.8,4,2.5,2.5,5,2.6,No,Emily,tamale isn't good,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Zarape,California,3/14/16,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,1,6.25,0.5,,,,,,3,5,4,2.75,4,1.6,3.5,3.4,5,3.33333,,Kelsey,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Zarape,California chicken,3/14/16,,,,4,4.4,0,6.25,3,,,,,,3.5,5,2.5,2.5,4,2.7,3.5,3,5,2.5,,Sage,,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Zarape,Azteca,3/14/16,,,,4,4.4,0,6.25,3.75,,,,,,3,5,5,4.5,4,4,1.5,3,5,3,,Jake,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
El Zarape,Lobster,3/14/16,,,,4,4.4,0,9.5,3,,,,,,3,3,4,3,3.5,4.5,3.5,3,3.5,3.2,,Scott,quite small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
El Zarape,Surf and Turf,5/19/16,,,,4,4.4,0,7,2.5,,,,,,5,5,5,5,5,5,5,5,5,5,Yes,Damien B,Get the green sauce,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Zarape,California,11/8/16,,,,4,4.4,0,6.25,4,,,17,19.5,0.51,2.5,4,3.75,4,3.75,5,4,4,5,3.9,Yes,Scott,,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Zarape,California,11/8/16,,,,4,4.4,0,6.25,4,,,17,22,0.65,3,,4,4,4,4,2,3,5,4,Yes,Ant,,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Zarape,California,11/8/16,,,,4,4.4,0,6.25,3,,,,,,4,4,2,2,4,3,3,3,5,3,No,Erik,,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Zarape,Carne asada supreme,11/8/16,,,,4,4.4,0,6.25,4,,,18,21,0.63,4,4,,3.5,3.5,4,4,4,4,4,Yes,Tom,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Famoso Mexican Street Food,Cali Diablo,11/14/16,Downtown,815 C St,https://www.yelp.com/biz/famoso-mexican-street-food-san-diego-20,4.5,3.9,0,10.5,3,,,20,27,1.16,2,2.5,3.3,3.5,1.5,4,2.5,2.5,3,3.1,No,Scott,Big roach on the floor while eating. Good prep took quite a long time. Cut in half!,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filiberto's,Adobada,5/2/17,Encinitas,476 S Coast Hwy 101,https://www.yelp.com/biz/filibertos-encinitas-2,3,3.8,0,6.25,4.4,,,,,,4.2,4.5,4,3,5,3.8,2.5,3,5,3.7,,Scott,,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filiberto's,California,5/2/17,,,,3,3.8,0,6.25,3,,,,,,4.5,4.5,3.7,3.5,4,3.5,3,4,4.5,4,,Emily,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloria's Taco Shop,California ,12/2/16,South Park,1233 28th St,https://www.yelp.com/biz/glorias-taco-shop-san-diego,4,4.3,0,5.65,3,,,19.5,22,0.75,4,1.5,2,3,4.2,4,3,2,4.5,2.7,No,Scott,Horchata tasted like bubble gum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloria's Taco Shop,Cabeza,12/2/16,,,,4,4.3,0,5.49,3,,,19,20.5,0.64,4.5,5,2,2,2.5,3.5,3,2.5,3,2,No,Richard,Meat is squishy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goody's,Custom,5/20/16,La Jolla,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3.5,4.1,0,7.25,3.5,,,18.5,22.5,0.75,1.5,1,2,2,2,2,2,2,1,1.8,No,Scott,Grocery store tortilla; cold guac,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goody's,Custom,5/16/11,La Jolla,,,3.5,4.1,0,8,4,,,,,,3,,2,3,2,3,2,3,2,2,No,Albert N,"The price has gone up for the past two years. I would probably rate this lower because of it, but my scores were on raw taste only.",1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goody's,Custom,5/20/16,La Jolla,,,3.5,4.1,0,8,3,,,,,,3,,1,2,2,2,2,2,1,2,No,Brittany T,It's gone downhill since 2013. Expensive and only ate it because there's nothing else around. closes early. skimping on the portions.,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goody's,Carne Asada,5/21/16,,,,3.5,4.1,0,6.25,4.5,,,,,,3.5,3,2,2,2.5,3,2,1.5,1,2,No,Kevin,"Sucks, but it is okay.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graciela's Taco Shop,Adobada ,2/14/16,Bonita,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4,4.5,0,5.99,3,,,,,,4,4,3,3.5,4,4.5,4,4,4.5,4,,Scott,Salsa verde spicy,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graciela's Taco Shop,Barbacoa,2/14/16,,,,4,4.5,0,5.99,2,,,,,,3.5,4,3.5,,4,,4,4,1.5,4,,Emily,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humbertos,Pollo california,5/27/16,,,,,,0,6,5,,,,,,4,5,5,5,5,4,5,5,5,5,Yes,Logan,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge's Mexicatessen,California ,4/24/16,Encinitas ,267 N El Camino Real,https://www.yelp.com/biz/jorges-mexicatessen-encinitas,4,4.5,0,5.95,3.5,,,20,22,0.77,2.5,2.5,3.5,4,3,4.5,4,4.5,4.5,3.8,Yes,Scott,"Cheese should be melted, potatoes are very good",0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge's Mexicatessen,Chimichanga beef,4/24/16,,,,4,4.5,0,5.5,3,,,,,,2,4,3,3,3,4,3.5,3.5,,3,No,Emily,,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose's Taco,California,10/5/16,Oceanside,3910 Vista Way,https://www.yelp.com/biz/joses-taco-oceanside,4,3.8,0,6.1,4,,,22,22,0.85,3.5,3.5,2,3.5,4.5,3.5,3,3.5,4,3.3,No,Scott ,,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juanita's Taco Shop,California ,5/18/16,Encinitas ,290 N Coast Hwy 101,https://www.yelp.com/biz/juanitas-taco-shop-encinitas,4,4.5,0,5.55,3.5,,,17.5,23,0.74,4,4.5,3,3,5,3,4,3,5,3.5,Yes,Scott,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juanita's Taco Shop,Arizona,5/18/16,,,,4,4.5,0,5.55,2.5,,,20.5,22.5,0.83,4.5,4,3.5,4,3.5,4,3,4,5,3.9,Yes,Emily,,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JV's Mexican Food,Carne Asada,2/6/16,Morena,1112 Morena Blvd,http://jvsmexfood.com/,4,4.1,0,6.25,3.5,,,,,,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,,Scott,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JV's Mexican Food,Surf & Turf,2/6/16,,,,4,4.1,0,9.5,2,,,,,,2.5,2.5,2.75,2.5,2.5,2,0.5,3,3.5,2.5,,Emily,Huge. Shrimp is good. Meat is normal,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karina's Taco Shop ,Bomb,5/15/16,Encinitas ,916 N Coast Hwy 101,https://www.yelp.com/biz/karinas-taco-shop-encinitas,4,4.2,0,7.99,3,,,25.5,23,1.07,4,4,4,3.5,2.5,3.5,4,3.5,2.5,3.7,Yes,Scott,,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Karina's Taco Shop ,California ,5/15/16,,,,4,4.2,0,6.99,2.5,,,21.5,22.125,0.84,3.5,4,3.5,3.5,3,1,4,4,4.5,3.8,Yes,Emily,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King Burrito,Adobada,8/16/16,Oceanside,3490 Marron Rd,https://www.yelp.com/biz/king-burrito-oceanside-2,4,3.9,0,4.99,3.5,,,23,19,0.66,3,3,3,3,2.5,2,2.5,3,4,2.8,No,Emily,Too much tortilla per bite,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King Burrito,California,8/16/16,,,,4,3.9,0,5.29,3.5,,,22.5,20.5,0.75,2.5,4.5,2,3,2.5,1.5,3,2,4.5,2.5,No,Scott,it does taste homemade. but that's not a good thing,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotija Jr,California,8/19/17,Del Mar,2668 Del Mar Heights Rd,https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,4,4.2,0,6.99,4,550,0.785714286,20,21,0.7,4,5,3.5,3.8,3,2.5,3.3,4,5,3.7,,Scott,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotija Jr,Steak fajitas,8/19/17,,,,4,4.2,0,7.1,3,,,21,22,0.81,3.5,5,4,4,4.5,4.75,3.75,4,5,4.2,,Emily,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotija Jr.,Fish,5/20/16,,,,4,4.2,0,6.5,4,,,,,,3,,4,4,5,4,4,5,4,5,Yes,Jonathan G,Great fish burrito. Not fishy and has great crunch from both cabbage and fried fish. Super generous with amount of fish given,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Morena Taco Shop and Seafood,California,9/22/16,Webster,5059 Federal Blvd,https://www.yelp.com/biz/la-morena-taco-shop-san-diego,4.5,4.7,0,6.35,4,,,,,,4,2.5,4,3,4.5,2,2,3,4,3,No,Erin,"Good tortilla, good amount of food, needed guac. or salsa to balance out density of fillings.",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Perla Cocina,Addiction,3/30/16,Pacific Beach,745 Emerald St,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,0,7.99,3.5,,,,,,4,4,2,3,1.5,3,2.5,1,3,2.5,,Scott,Bland,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
La Perla Cocina,Oaxacalifornia,3/30/16,,,,4.5,4.7,0,9.99,3,,,,,,4,4.5,3.5,4,3,2,2.5,3.5,4,4,,Emily,Fries are good,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Perla Cocina,California,5/16/16,,,,4.5,4.7,0,6.5,5,,,,,,4,,4,4,5,4,4,4,5,4,Yes,Laya,A LOT of carne asada!,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lola's 7 Up Market & Deli,Shredded beef,2/29/16,Carlsbad,3292 Roosevelt St,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,4.5,4.9,0,6,3.5,,,,,,2.5,2.5,3,4,4,4,3,3.5,1.5,3.8,,Emily,Food cooks fast but checking out is painfully slow,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lola's 7 Up Market & Deli,Carne asada,2/29/16,,,,4.5,4.9,0,7,3.5,,,,,,2.5,3,3,4,2,2,3,3.5,3.5,3,,Scott,Beans are surprisingly good,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's,Bean and Cheese,5/19/16,,,,,,0,,4.3,,,,,,3.8,4,,4.7,,5,,4.7,5,4.8,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's taco shop,2 in 1,2/24/16,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,4,4.4,0,8.75,3.5,,,,,,1.5,2,3,3.5,4,1,3.5,4.5,4,4,,Scott,Rolled tacos need more meat,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's taco shop,Adobado,2/24/16,,,,4,4.4,0,5.5,2.5,,,,,,1.5,2.5,3.5,3,4,1.5,2.5,3.5,4.5,3.5,,Emily,Adobado reminds me of Indian food because of some mystery spice,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's taco shop,California,5/12/16,,,,4,4.4,0,7,3.5,,,17.5,24.5,0.84,3,5,3,3.5,3,1.5,3,3,4,3.3,No,Scott,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's taco shop,2 in 1,5/12/16,,,,4,4.4,0,8.75,3,,,19,21.5,0.7,3,4,2.7,4.7,3,2.4,2,3.7,4.5,3.7,Yes,Bankole,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's taco shop,2 in 1,5/12/16,,,,4,4.4,0,8.75,4,,,17.78,22.225,0.7,4.5,3.8,3.8,4.5,3.4,1.5,3,3.8,4,3.8,Yes,Katie,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's Taco shop,Carne asada,5/27/16,,,,4,4.4,0,6.25,4,,,15,20.5,0.5,1.5,2.5,3,4.5,4,2,2.75,3.75,3,2.6,No,Scott,Way too small,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's Taco shop,Shrimp,5/27/16,,,,4,4.4,0,8.95,3.5,,,18.5,25,0.92,3,3,4,4,3.5,3.5,2.5,4,0.5,3,Yes,Emily,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's Taco shop,Bean and cheese,5/27/16,,,,4,4.4,0,3.5,1,,,16,20,0.51,3.5,4.5,,3,,4,3,2.5,4,2.7,No,Scott,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's Taco Shop,California,6/23/16,,,,4,4.4,0,7,2.2,,,18,25,0.9,2.8,3,3,2,2,4.5,2,1.5,4.5,2.3,No,Scott,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's Taco Shop,California,6/23/16,,,,4,4.4,0,7,3.5,,,18,23.5,0.79,4,4,4,3,4,5,4,4,5,4,Yes,Cris,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's Taco Shop,California,6/23/16,,,,4,4.4,0,7,3,,,19,24,0.87,3.5,2,3,4,2,4,3,3,4,3,,Matt,,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita's Taco Shop,Mixed,6/23/16,,,,4,4.4,0,8.25,4,,,,,,4,3,4,4,4,5,3,4,5,3.5,Yes,Marc,,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Cabos,California,8/27/16,San Marcos,165 S Rancho Santa Fe Rd,https://www.yelp.com/biz/los-cabos-san-marcos,4,4.1,1,5.99,4,,,18.5,21,0.65,4,4.5,2.5,2.5,2.5,1.5,3,4,5,3,No,Scott,Repeatedly get large bites of sour cream,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Cabos,Al pastor,8/27/16,,,,4,4.1,0,5.69,3,,,17.5,23.5,0.77,4,4.5,3,3.5,4,3.5,2.5,4,4.5,4,Yes,Emily,Really good with lime,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los palmitos,California,4/23/17,Clairemont,5145 Clairemont Mesa Blvd,https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego,4,4.1,1,7.1,4,,,22.5,23,0.95,4.5,5,3.8,3.8,4,4,3.9,4.3,5,4.3,,Scott,red-orange salsa has a slight fruity flavor that's really good,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los palmitos,Surf & Turf,4/23/17,,,,4,4.1,0,8.25,3.5,,,20,24,0.92,3.5,4,4,3,3.5,4.5,3.5,3.5,5,3.6,,Emily,Rice was plain. Also don't like rice in burrito,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Panchos Taco Shop,California,11/23/16,Hillcrest,409 Washington St,https://www.yelp.com/biz/los-panchos-san-diego-2,3,3.4,1,6.25,3,,,18,21.5,0.66,3.5,5,4,3,4,3,3.5,3.5,3,3.7,Yes,Scott,,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Panchos Taco Shop,Bitchin California,11/23/16,,,,3,3.4,0,7.25,4,,,19,24,0.87,4,4,5,4.5,4,3.5,5,4.5,5,4.4,Yes,Richard,,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Panchos Taco Shop,Tijuana,11/23/16,,,,3,3.4,0,7,3.5,,,19.5,22,0.75,4,4,3.5,4,4,3.5,4.5,4,3.5,3.7,Yes,Tom,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Primos Mexican Food,Monster California,2/1/16,UTC,7770 Regents Rd,http://www.primosmex.com/,3,3.7,1,9.25,3.5,,,,,,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,,Scott,this tasted really bad leftover. not included in rating,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Primos Mexican Food,619 Burrito Original,5/16/16,,,,3,3.7,1,11.75,4,,,,,,3,,4,5,4,4,5,4,3,4,Yes,Sai G,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Primos Mexican Food,California,5/29/16,,,,3,3.7,0,7.5,4,,,,,,3,5,3.5,3.5,4,4,2.5,3,5,3.5,Yes,Sage,,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Primos Mexican Food,Monster California,6/3/16,,,,3,3.7,0,9.25,3.5,,,25.5,24,1.17,2,1,3,3,1,,3,2,4,2.3,No,Scott,,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Primos Mexican Food,California,6/3/16,,,,3,3.7,0,7,3,,,20,22,0.77,4.5,4,3.5,4,1,1,2,2,4,2.5,No,Ricardo,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Primos Mexican Food,California breakfast,6/3/16,,,,3,3.7,0,6.25,2.5,,,18.5,22.5,0.75,3,4,3,2,1.5,1,3,1.5,3,2,No,Erin,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
